ID,Unnamed: 0,V,e_V,V-R,e_V-R,V-I,e_V-I,abs(V),abs(V-I),abs(V-R),abs(R-I),dif_VI,dif_VR
5213401,677,16.979,0.027,0.853,0.034,1.858,0.034,8.340937431123281,2.050696,0.946744,1.1039519999999998,1.7360739717636555,1.4670908295169909
5213291,680,15.031,0.005,1.013,0.006,2.069,0.007,6.392937431123283,2.261696,1.1067439999999995,1.154952,4.417676080704171,4.764122401741336
5214818,684,16.623,0.019,0.67,0.026,1.413,0.029,7.984937431123283,1.6056960000000002,0.763744,0.8419520000000003,0.3910470883135311,0.16605533856246169
5214972,690,14.286,0.003,0.536,0.005,1.146,0.005,5.647937431123282,1.338696,0.6297440000000001,0.7089519999999998,1.59947609270219,1.2166263546869525
5214507,692,15.815,0.01,0.935,0.012,1.887,0.013,7.176937431123282,2.079696,1.028744,1.050952,3.0035719261885756,3.334438827120362
5214948,693,17.483,0.041,0.712,0.053,1.584,0.058,8.844937431123283,1.776696,0.805744,0.970952,0.21039957647083796,-0.3032410000643413
5215014,695,17.618,0.046,0.818,0.057,1.497,0.065,8.97993743112328,1.6896960000000003,0.911744,0.7779520000000004,-0.26611077419025086,0.5203804762853927
5215632,704,16.386,0.017,0.843,0.022,1.751,0.023,7.747937431123281,1.943696,0.9367439999999998,1.006952,1.9396329731858462,1.9726268338238864
5215217,709,14.492,0.004,0.797,0.006,1.623,0.006,5.853937431123283,1.815696,0.890744,0.9249520000000002,3.351762272274234,3.4596331898300807
5215995,710,12.749,0.001,-0.59,0.003,0.75,0.002,4.110937431123283,0.942696,-0.496256,1.4389519999999998,1.3006806220141724,-10.080633677440101
5215941,712,16.639,0.022,0.836,0.027,1.731,0.029,8.000937431123281,1.9236960000000003,0.929744,0.9939520000000004,1.6125015551018826,1.65818585501248
5221458,721,17.073,0.03,0.642,0.041,1.444,0.046,8.434937431123283,1.636696,0.735744,0.900952,0.06666451753669023,-0.5477718645167116
5220479,722,15.117,0.007,0.582,0.01,1.318,0.011,6.478937431123283,1.510696,0.6757439999999999,0.8349520000000001,1.505164898148097,0.8339774618298836
